version,subject,condition,stim_set,total_choices,gini,entropy,max_choice,choice,choice_num
1,p111,active,1,8,0.25,1.3208883431493221,3,choice4_num,2
1,p111,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p111,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p111,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p111,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p112,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p112,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p112,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p112,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p112,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p112,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p112,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p112,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p113,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p113,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p113,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p113,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p113,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p113,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p113,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p113,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p114,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p114,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p114,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p114,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p114,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p114,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p114,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p114,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p115,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p115,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p115,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p115,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p115,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p115,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p115,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p115,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p117,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p117,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p117,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p117,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p117,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p117,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p117,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p117,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p118,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p118,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p118,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p118,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p118,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p118,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p118,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p118,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p120,passive,1,8,0.25,1.3208883431493221,3,choice1_num,2
1,p120,passive,1,8,0.25,1.3208883431493221,3,choice2_num,2
1,p120,passive,1,8,0.25,1.3208883431493221,3,choice3_num,3
1,p120,passive,1,8,0.25,1.3208883431493221,3,choice4_num,1
1,p120,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p120,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p120,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p120,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p121,passive,1,8,0.25,1.3208883431493221,3,choice1_num,2
1,p121,passive,1,8,0.25,1.3208883431493221,3,choice2_num,2
1,p121,passive,1,8,0.25,1.3208883431493221,3,choice3_num,3
1,p121,passive,1,8,0.25,1.3208883431493221,3,choice4_num,1
